i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O18_D          O18_T          
125	0	0	374908         1.953          1.86871        1.953          1.86871        0              0              0              0              0              0              
126	0	0	427613         2.4233         2.13852        2.4233         2.13852        0              0              0              0              0              0              
127	0	0	504258         3.42924        2.57717        3.42924        2.57717        0              0              0              0              0              0              
128	0	0	583503         5.02072        3.23788        5.01693        3.23786        0              0              638.732        566.871        0              0              
129	0	0	594463         6.99749        4.1239         6.99749        4.1239         0              0              0              0              0              0              
130	0	0	461195         8.99646        5.14025        8.99646        5.14025        0              0              0              0              0              0              
131	0	0	240512         10.8152        6.17678        10.8152        6.17678        0              0              0              0              0              0              
132	0	0	77712.4        12.3145        7.11855        12.3145        7.11855        0              0              0              0              0              0              
133	0	0	15348.8        13.7106        8.048          13.6797        8.04732        0              0              471.477        364.845        0              0              
134	0	0	1763.22        14.9011        9.01132        14.9011        9.01132        0              0              0              0              0              0              
135	0	0	89.1186        15.3063        9.1533         15.3063        9.1533         0              0              0              0              0              0              
136	0	0	3.1911         25.2369        19.1194        25.2369        19.1194        0              0              0              0              0              0              
137	0	0	0              0              0              0              0              0              0              0              0              0              0              
138	0	0	0              0              0              0              0              0              0              0              0              0              0              
139	0	0	0              0              0              0              0              0              0              0              0              0              0              
140	0	0	0              0              0              0              0              0              0              0              0              0              0              
141	0	0	0              0              0              0              0              0              0              0              0              0              0              
142	0	0	0              0              0              0              0              0              0              0              0              0              0              
143	0	0	0              0              0              0              0              0              0              0              0              0              0              
144	0	0	0              0              0              0              0              0              0              0              0              0              0              
145	0	0	0              0              0              0              0              0              0              0              0              0              0              
146	0	0	0              0              0              0              0              0              0              0              0              0              0              
147	0	0	0              0              0              0              0              0              0              0              0              0              0              
148	0	0	0              0              0              0              0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              0              0              0              0              
151	0	0	0              0              0              0              0              0              0              0              0              0              0              
152	0	0	0              0              0              0              0              0              0              0              0              0              0              
153	0	0	0              0              0              0              0              0              0              0              0              0              0              
154	0	0	0              0              0              0              0              0              0              0              0              0              0              
155	0	0	0              0              0              0              0              0              0              0              0              0              0              
156	0	0	0              0              0              0              0              0              0              0              0              0              0              
157	0	0	0              0              0              0              0              0              0              0              0              0              0              
158	0	0	0              0              0              0              0              0              0              0              0              0              0              
159	0	0	0              0              0              0              0              0              0              0              0              0              0              
160	0	0	0              0              0              0              0              0              0              0              0              0              0              
161	0	0	0              0              0              0              0              0              0              0              0              0              0              
162	0	0	0              0              0              0              0              0              0              0              0              0              0              
163	0	0	0              0              0              0              0              0              0              0              0              0              0              
164	0	0	0              0              0              0              0              0              0              0              0              0              0              
165	0	0	0              0              0              0              0              0              0              0              0              0              0              
166	0	0	0              0              0              0              0              0              0              0              0              0              0              
167	0	0	0              0              0              0              0              0              0              0              0              0              0              
168	0	0	0              0              0              0              0              0              0              0              0              0              0              
169	0	0	0              0              0              0              0              0              0              0              0              0              0              
170	0	0	0              0              0              0              0              0              0              0              0              0              0              
171	0	0	0              0              0              0              0              0              0              0              0              0              0              
172	0	0	0              0              0              0              0              0              0              0              0              0              0              
173	0	0	0              0              0              0              0              0              0              0              0              0              0              
174	0	0	0              0              0              0              0              0              0              0              0              0              0              
175	0	0	0              0              0              0              0              0              0              0              0              0              0              
176	0	0	0              0              0              0              0              0              0              0              0              0              0              
177	0	0	0              0              0              0              0              0              0              0              0              0              0              
178	0	0	0              0              0              0              0              0              0              0              0              0              0              
179	0	0	0              0              0              0              0              0              0              0              0              0              0              
180	0	0	0              0              0              0              0              0              0              0              0              0              0              
181	0	0	0              0              0              0              0              0              0              0              0              0              0              
182	0	0	0              0              0              0              0              0              0              0              0              0              0              
183	0	0	0              0              0              0              0              0              0              0              0              0              0              
184	0	0	0              0              0              0              0              0              0              0              0              0              0              
185	0	0	0              0              0              0              0              0              0              0              0              0              0              
186	0	0	0              0              0              0              0              0              0              0              0              0              0              
187	0	0	0              0              0              0              0              0              0              0              0              0              0              
188	0	0	0              0              0              0              0              0              0              0              0              0              0              
189	0	0	0              0              0              0              0              0              0              0              0              0              0              
190	0	0	0              0              0              0              0              0              0              0              0              0              0              
191	0	0	0              0              0              0              0              0              0              0              0              0              0              
192	0	0	0              0              0              0              0              0              0              0              0              0              0              
193	0	0	0              0              0              0              0              0              0              0              0              0              0              
194	0	0	0              0              0              0              0              0              0              0              0              0              0              
195	0	0	0              0              0              0              0              0              0              0              0              0              0              
196	0	0	0              0              0              0              0              0              0              0              0              0              0              
197	0	0	0              0              0              0              0              0              0              0              0              0              0              
198	0	0	0              0              0              0              0              0              0              0              0              0              0              
199	0	0	0              0              0              0              0              0              0              0              0              0              0              
